sample,elapsed_ms
1,4.690538
2,4.400538
3,4.486038
4,4.210808
5,4.120616
6,4.052424
7,4.099846
8,4.236653
9,4.113961
10,4.110038
11,3.9925
12,4.217731
13,4.027462
14,4.025693
15,4.147
16,4.140077
17,4.016423
18,4.141192
19,4.130539
20,4.001346
21,4.173193
22,4.021423
23,3.975654
24,4.075423
25,4.099269
26,3.972616
27,4.058654
28,4.024693
29,4.066307
30,4.1685
31,4.142192
32,3.979654
