"sample","elapsed_ms"
"1","23.854846"
"2","3.161307"
"3","2.189538"
"4","2.296923"
"5","2.196923"
"6","2.163"
"7","2.1585"
"8","2.146577"
"9","2.173269"
"10","2.166039"
"11","2.099577"
"12","2.200385"
"13","2.192846"
"14","2.099154"
"15","2.140846"
"16","2.174538"
"17","2.092885"
"18","2.170461"
"19","2.159077"
"20","2.083231"
"21","2.176039"
"22","2.119577"
"23","2.063808"
"24","2.098461"
"25","2.184385"
"26","2.099116"
"27","2.220231"
"28","2.096038"
"29","2.149692"
"30","2.113193"
"31","2.114692"
"32","2.1525"
"33","2.130385"
"34","2.069154"
"35","2.151"
"36","2.160346"
"37","2.080308"
"38","2.170346"
"39","2.068616"
"40","2.127693"
"41","2.126692"
"42","2.129847"
"43","2.106808"
"44","2.107885"
"45","2.092115"
"46","2.132769"
"47","2.081923"
"48","2.052807"
"49","2.135231"
"50","2.180423"
"51","2.136962"
"52","2.154154"
"53","2.103077"
"54","2.144385"
"55","2.172769"
"56","2.041154"
"57","2.179884"
"58","2.079615"
"59","2.068231"
"60","2.1205"
"61","2.004"
"62","2.063308"
"63","2.099847"
"64","2.070577"
"65","2.142"
"66","2.016346"
"67","1.975"
"68","2.078653"
"69","1.987769"
"70","2.100269"
"71","2.075616"
"72","2.004077"
"73","2.0745"
"74","1.988346"
"75","2.906846"
"76","2.599039"
"77","2.44623"
"78","2.278692"
"79","2.352538"
"80","2.295423"
"81","2.247653"
"82","2.347924"
"83","10.343654"
"84","2.727923"
"85","2.313308"
"86","2.291154"
"87","2.264769"
"88","2.236423"
"89","2.242769"
"90","2.25623"
"91","2.229269"
"92","2.192193"
"93","2.263346"
"94","2.209154"
"95","2.220385"
"96","2.226307"
"97","2.214385"
"98","2.224615"
"99","2.258308"
"100","2.1895"
"101","2.247385"
"102","2.221039"
"103","2.162923"
"104","2.665538"
"105","2.309731"
"106","4.329539"
"107","2.264153"
"108","2.018538"
"109","1.987"
"110","2.034885"
"111","1.997269"
"112","2.025154"
"113","2.04123"
"114","1.962039"
"115","2.084077"
"116","1.984539"
"117","2.001231"
"118","2.046769"
"119","1.949077"
"120","1.995077"
"121","1.986616"
"122","2.001423"
"123","1.990692"
"124","1.933"
"125","2.028615"
"126","1.926077"
"127","1.986769"
"128","1.979846"
"129","1.962577"
"130","2.003615"
"131","1.932654"
"132","2.003423"
"133","2.011192"
"134","1.907962"
"135","1.965385"
"136","1.925615"
"137","1.986"
"138","1.984"
"139","1.931923"
"140","1.969461"
"141","1.926116"
"142","2.073923"
"143","2.069962"
"144","1.954654"
"145","5.767"
"146","3.0995"
"147","1.998308"
"148","2.018192"
"149","1.944808"
"150","1.954423"
"151","1.992923"
"152","1.933192"
"153","2.053808"
"154","1.954962"
"155","1.971462"
"156","1.97923"
"157","1.9225"
"158","1.981423"
"159","1.938384"
"160","2.008769"
"161","2.033153"
"162","1.978538"
"163","1.979923"
"164","1.941654"
"165","1.948462"
"166","1.977231"
"167","1.91"
"168","1.999808"
