"sample","elapsed_ms"
"6001","2.059384"
"6002","1.920654"
"6003","1.921923"
"6004","1.9"
"6005","1.884615"
"6006","1.860154"
"6007","1.846923"
"6008","1.944308"
"6009","1.972115"
"6010","2.069077"
"6011","1.836077"
"6012","1.887692"
"6013","1.858538"
"6014","1.830961"
"6015","1.916538"
"6016","1.922539"
"6017","2.016192"
"6018","1.905577"
"6019","1.894962"
"6020","1.849807"
"6021","1.885346"
"6022","1.953192"
"6023","1.85423"
"6024","1.945038"
"6025","2.004077"
"6026","2.306654"
"6027","2.816"
"6028","1.867231"
"6029","1.835923"
"6030","2.008307"
"6031","1.847423"
"6032","1.789231"
"6033","1.818769"
"6034","1.786923"
"6035","1.699692"
"6036","1.717423"
"6037","1.706538"
"6038","1.686769"
"6039","1.720385"
"6040","1.779269"
"6041","1.874692"
"6042","1.727423"
"6043","1.772153"
"6044","1.687462"
"6045","1.767538"
"6046","1.719923"
"6047","1.741615"
"6048","1.731039"
"6049","1.878423"
"6050","1.711538"
"6051","1.743039"
"6052","1.682385"
"6053","1.713692"
"6054","1.749346"
"6055","1.698538"
"6056","1.772077"
"6057","1.805308"
"6058","1.780846"
"6059","1.704269"
"6060","1.744384"
"6061","1.706231"
"6062","1.769115"
"6063","1.709615"
"6064","1.772423"
"6065","1.855269"
"6066","1.732308"
"6067","1.7"
"6068","1.731154"
"6069","1.799"
"6070","1.747577"
"6071","1.840654"
"6072","1.730154"
"6073","1.863423"
"6074","1.721192"
"6075","1.763654"
"6076","1.678308"
"6077","1.749962"
"6078","1.734424"
"6079","1.8495"
"6080","1.719577"
"6081","1.828269"
"6082","1.754731"
"6083","1.670538"
"6084","1.746654"
"6085","1.695077"
"6086","1.91827"
"6087","1.710077"
"6088","1.747692"
"6089","1.804692"
"6090","1.732462"
"6091","1.758384"
"6092","1.73027"
"6093","1.670115"
"6094","1.771654"
"6095","1.711731"
"6096","1.80173"
"6097","1.801461"
"6098","1.692347"
"6099","1.737846"
"6100","1.728115"
"6101","1.726077"
"6102","1.652269"
"6103","1.730038"
"6104","1.663461"
"6105","1.860692"
"6106","1.674038"
"6107","1.738385"
"6108","1.667462"
"6109","1.828654"
"6110","1.675808"
"6111","1.705884"
"6112","1.700153"
"6113","1.804"
"6114","1.704693"
"6115","1.719808"
"6116","1.734077"
"6117","1.710615"
"6118","1.727692"
"6119","1.676077"
"6120","1.762346"
"6121","1.747885"
"6122","1.749962"
"6123","1.686231"
"6124","1.747692"
"6125","1.717385"
"6126","2.436923"
"6127","2.151115"
"6128","1.986154"
"6129","2.150539"
"6130","1.960961"
"6131","1.9375"
"6132","1.990076"
"6133","1.942615"
"6134","2.053769"
"6135","1.9935"
"6136","1.955076"
"6137","2.103193"
"6138","1.927038"
"6139","1.972385"
"6140","1.888"
"6141","1.9305"
"6142","1.982115"
"6143","10.638231"
"6144","2.158385"
"6145","2.0875"
"6146","1.903346"
"6147","1.945847"
"6148","1.915116"
"6149","1.874885"
"6150","1.9535"
"6151","1.923038"
"6152","1.986269"
"6153","2.078654"
"6154","1.945923"
"6155","1.904308"
"6156","1.847115"
"6157","1.912269"
"6158","1.865961"
"6159","1.888769"
"6160","1.814385"
"6161","1.988462"
"6162","1.929577"
"6163","1.885807"
"6164","2.68673"
"6165","2.441308"
"6166","1.937923"
"6167","1.881539"
"6168","1.850038"
"6169","2.030846"
"6170","1.831346"
"6171","1.744846"
"6172","1.795154"
"6173","1.726077"
"6174","1.765308"
"6175","1.71427"
"6176","1.728846"
"6177","1.769115"
"6178","1.798961"
"6179","1.774577"
"6180","1.769808"
"6181","1.720808"
"6182","1.720423"
"6183","1.732846"
"6184","1.689577"
"6185","1.884461"
"6186","1.764731"
"6187","1.790423"
"6188","1.703731"
"6189","1.768923"
"6190","1.684807"
"6191","1.801654"
"6192","1.749615"
"6193","1.854423"
"6194","1.698115"
"6195","1.792577"
"6196","1.680923"
"6197","1.689577"
"6198","1.764116"
"6199","1.6915"
"6200","1.755884"
"6201","1.807808"
"6202","1.781346"
"6203","1.707577"
"6204","1.768346"
"6205","1.702308"
"6206","1.765"
"6207","1.753615"
"6208","1.758654"
"6209","1.777808"
"6210","1.787462"
"6211","1.710038"
"6212","1.705"
"6213","1.709692"
"6214","1.758731"
"6215","1.794153"
"6216","1.710423"
"6217","1.981616"
"6218","1.734308"
"6219","1.744039"
"6220","1.725077"
"6221","1.778039"
"6222","1.71223"
"6223","1.760807"
"6224","1.70177"
"6225","1.872039"
"6226","1.701231"
"6227","1.693192"
"6228","1.674038"
"6229","1.694461"
"6230","1.73773"
"6231","1.645808"
"6232","1.750692"
"6233","1.784615"
"6234","1.772077"
"6235","1.709038"
"6236","1.759884"
"6237","1.684846"
"6238","1.745038"
"6239","1.663538"
"6240","1.761039"
"6241","1.818154"
"6242","1.778808"
"6243","1.772807"
"6244","1.761847"
"6245","1.781769"
"6246","1.753154"
"6247","1.793347"
"6248","1.724961"
"6249","1.935308"
"6250","1.828461"
"6251","1.82723"
"6252","1.750231"
"6253","1.812231"
"6254","1.739923"
"6255","1.726731"
"6256","1.6755"
"6257","1.811346"
"6258","1.797192"
"6259","1.698692"
"6260","2.508731"
"6261","2.012846"
"6262","1.935923"
"6263","1.999615"
"6264","1.974923"
"6265","2.103384"
"6266","1.942423"
"6267","1.936962"
"6268","1.967039"
"6269","1.895231"
"6270","1.9315"
"6271","1.945192"
"6272","1.975807"
"6273","2.617808"
"6274","2.009884"
"6275","1.903538"
"6276","1.844423"
"6277","1.896423"
"6278","1.887"
"6279","1.730346"
"6280","1.829192"
"6281","1.883423"
"6282","2.535308"
"6283","1.858731"
"6284","1.73977"
"6285","1.772154"
"6286","1.745846"
"6287","1.941577"
"6288","1.767192"
"6289","1.885115"
"6290","1.717654"
"6291","1.788116"
"6292","1.684192"
"6293","1.678346"
"6294","1.702077"
"6295","1.685153"
"6296","1.670385"
"6297","1.752231"
"6298","1.770808"
"6299","1.729192"
"6300","1.798154"
"6301","1.712884"
"6302","1.766731"
"6303","1.685769"
"6304","1.745923"
"6305","1.76377"
"6306","1.722193"
"6307","1.701154"
"6308","1.730307"
"6309","1.713654"
"6310","1.777692"
"6311","1.764039"
"6312","1.706346"
"6313","1.835231"
"6314","1.685461"
"6315","1.700846"
"6316","1.6915"
"6317","1.739846"
"6318","1.693961"
"6319","1.7825"
"6320","1.714576"
"6321","1.822231"
"6322","1.693846"
"6323","1.759154"
"6324","1.706307"
"6325","1.717462"
"6326","1.68"
"6327","1.739962"
"6328","1.714423"
"6329","1.795038"
"6330","1.822307"
"6331","1.723539"
"6332","1.741346"
"6333","1.686116"
"6334","1.722808"
"6335","1.729577"
"6336","1.744654"
"6337","1.794808"
"6338","1.777539"
"6339","1.693577"
"6340","1.7365"
"6341","1.721615"
"6342","1.732615"
"6343","1.723769"
"6344","1.69277"
"6345","1.756039"
"6346","2.497885"
"6347","2.165885"
"6348","1.928192"
"6349","1.932769"
"6350","2.02077"
"6351","2.083154"
"6352","1.9725"
"6353","1.979154"
"6354","1.952076"
"6355","1.953462"
"6356","1.882576"
"6357","1.9525"
"6358","1.911923"
"6359","1.977077"
"6360","1.920231"
"6361","1.9905"
"6362","1.963461"
"6363","1.869615"
"6364","1.927884"
"6365","1.9"
"6366","1.836692"
"6367","1.95573"
"6368","1.872885"
"6369","2.008115"
"6370","1.899269"
"6371","1.917731"
"6372","1.846193"
"6373","1.856039"
"6374","1.884962"
"6375","1.858269"
"6376","1.893154"
