page,elapsed_ms,complete
1,14.354116,false
2,12.2775,false
3,12.076539,false
4,12.019077,false
5,10.474846,false
6,10.870346,false
7,11.495038,false
8,10.338346,false
9,12.869231,false
10,9.920693,false
11,9.984577,false
12,10.598615,false
13,10.832577,false
14,10.213038,false
15,10.044654,false
16,9.7405,true
