page,elapsed_ms,complete
3001,9.920923,false
3002,9.980692,false
3003,9.912116,false
3004,9.723769,false
3005,10.18,false
3006,9.981462,false
3007,35.229154,false
3008,11.8165,false
3009,9.824423,false
3010,9.435808,false
3011,9.832885,false
3012,9.962769,false
3013,9.615538,false
3014,9.9155,false
3015,9.658885,false
3016,9.716231,false
3017,9.621077,false
3018,9.798462,false
3019,9.819616,false
3020,9.524807,false
3021,9.84977,false
3022,9.593731,false
3023,9.800269,false
3024,9.502808,false
3025,9.587192,false
3026,9.788923,false
3027,9.676269,false
3028,9.477846,false
3029,9.538692,false
3030,9.781731,false
3031,9.561269,false
3032,9.972884,false
3033,9.693077,false
3034,9.97573,false
3035,9.413,false
3036,9.620808,false
3037,10.308769,false
3038,10.308115,false
3039,9.431076,false
3040,9.743731,false
3041,9.4835,false
3042,9.484693,false
3043,9.572769,false
3044,9.553077,false
3045,9.596539,false
3046,9.523154,false
3047,9.584192,false
3048,9.578808,false
3049,9.925653,false
3050,9.830731,false
3051,9.932423,false
3052,9.865923,false
3053,10.073807,false
3054,9.854962,false
3055,10.006885,false
3056,9.80327,false
3057,9.880307,false
3058,9.879,false
3059,9.680077,false
3060,9.596693,false
3061,9.860577,false
3062,9.686885,false
3063,9.714577,false
3064,9.914462,false
3065,9.941385,false
3066,10.046846,false
3067,9.827308,false
3068,9.957616,false
3069,9.847538,false
3070,9.767346,false
3071,9.799308,false
3072,9.713462,false
3073,9.806193,false
3074,9.926692,false
3075,22.039885,false
3076,10.263961,false
3077,9.729115,false
3078,9.629039,false
3079,10.120807,false
3080,10.044807,false
3081,10.020769,false
3082,9.789846,false
3083,9.839808,false
3084,9.992962,false
3085,10.143269,false
3086,11.270384,false
3087,9.887269,false
3088,10.013231,false
3089,9.612346,false
3090,9.8935,false
3091,9.828576,false
3092,9.862846,false
3093,10.228962,false
3094,10.269039,false
3095,9.805462,false
3096,9.794577,false
3097,10.094731,false
3098,9.728308,false
3099,9.738885,false
3100,9.664808,false
3101,9.848615,false
3102,9.577154,false
3103,9.953154,false
3104,9.527346,false
3105,9.731269,false
3106,9.718462,false
3107,9.953423,false
3108,9.981846,false
3109,9.863923,false
3110,9.755847,false
3111,9.621615,false
3112,9.768808,false
3113,10.042769,false
3114,10.004346,false
3115,10.029576,false
3116,9.961692,false
3117,9.549231,false
3118,9.790038,false
3119,9.567693,false
3120,9.870808,false
3121,9.713462,false
3122,9.647577,false
3123,10.167346,false
3124,9.591076,false
3125,9.788846,false
3126,9.878076,false
3127,9.854538,false
3128,10.014154,false
3129,10.450269,false
3130,9.675384,false
3131,10.04977,false
3132,9.922577,false
3133,10.545462,false
3134,9.893346,false
3135,10.008615,false
3136,9.914192,false
3137,9.705,false
3138,9.996115,false
3139,10.118038,false
3140,9.968077,false
3141,9.693692,false
3142,22.428885,false
3143,10.844423,false
3144,10.145115,false
3145,11.816385,false
3146,11.270577,false
3147,10.111423,false
3148,10.115653,false
3149,10.127231,false
3150,10.329,false
3151,9.796885,false
3152,9.596769,false
3153,10.473654,false
3154,9.907385,false
3155,9.812346,false
3156,9.741384,false
3157,9.664654,false
3158,9.587115,false
3159,9.977077,false
3160,9.727462,false
3161,10.03623,false
3162,9.953961,false
3163,10.024538,false
3164,10.596923,false
3165,10.037846,false
3166,10.005307,false
3167,10.00577,false
3168,9.732269,false
3169,9.886615,false
3170,10.159884,false
3171,10.409346,false
3172,9.807154,false
3173,9.556462,false
3174,9.6205,false
3175,9.552846,false
3176,9.773846,false
3177,9.989347,false
3178,9.55027,false
3179,9.579616,false
3180,9.685923,false
3181,9.926347,false
3182,9.706962,false
3183,10.020577,false
3184,11.062346,false
3185,9.969077,false
3186,9.869884,false
3187,9.759654,false
3188,9.757,false
3189,9.723308,false
3190,9.766654,false
3191,9.722193,false
3192,9.751577,false
3193,9.607154,false
3194,9.843231,false
3195,9.692538,false
3196,9.788961,false
3197,9.576615,false
3198,9.817192,false
3199,9.904269,false
3200,9.620423,false
3201,9.697885,false
3202,9.768269,false
3203,10.097654,false
3204,9.708616,false
3205,9.870077,false
3206,9.633,false
3207,21.099923,false
3208,10.210615,false
3209,10.397923,false
3210,9.885615,false
3211,12.221693,false
3212,17.414346,false
3213,9.858385,false
3214,9.836077,false
3215,9.708538,false
3216,9.799231,false
3217,9.913385,false
3218,9.948423,false
3219,9.824692,false
3220,9.844039,false
3221,9.533385,false
3222,10.027538,false
3223,9.842423,false
3224,10.117807,false
3225,9.856038,false
3226,9.751269,false
3227,10.480077,false
3228,9.754384,false
3229,9.932769,false
3230,9.917038,false
3231,9.598654,false
3232,9.772693,false
3233,9.705462,false
3234,9.711846,false
3235,9.75,false
3236,9.99273,false
3237,9.811577,false
3238,10.031231,false
3239,9.960923,false
3240,9.859615,false
3241,9.831461,false
3242,9.855884,false
3243,9.7925,false
3244,9.975116,false
3245,9.928807,false
3246,9.614731,false
3247,9.983192,false
3248,9.638269,false
3249,9.518116,false
3250,9.545346,false
3251,9.788923,false
3252,9.707885,false
3253,9.694539,false
3254,10.296,false
3255,9.641769,false
3256,10.112269,false
3257,9.841039,false
3258,9.658153,false
3259,9.884884,false
3260,9.719461,false
3261,9.814385,false
3262,9.884846,false
3263,10.029115,false
3264,10.087423,false
3265,9.580269,false
3266,10.031616,false
3267,9.757577,false
3268,9.5405,false
3269,9.900807,false
3270,9.584231,false
3271,9.552961,false
