rows,phase,sample,elapsed_ms
102400,indexed,43,0.115269
102400,indexed,44,0.113769
102400,indexed,45,0.115962
102400,indexed,46,0.115808
102400,indexed,47,0.115115
102400,indexed,48,0.113539
102400,indexed,49,0.112462
102400,indexed,50,0.113423
102400,indexed,51,0.115654
102400,indexed,52,0.113269
102400,indexed,53,0.113808
102400,indexed,54,0.111346
102400,indexed,55,0.111116
102400,indexed,56,0.110846
102400,indexed,57,0.114923
102400,indexed,58,0.112615
102400,indexed,59,0.138538
102400,indexed,60,0.115731
102400,indexed,61,0.115731
102400,indexed,62,0.114269
102400,indexed,63,0.114038
102400,indexed,64,0.115846
1000000,old-aggregate,1,740.392615
1000000,old-aggregate,2,740.763384
1000000,old-aggregate,3,755.562884
1000000,old-aggregate,4,789.712384
1000000,old-aggregate,5,761.30523
1000000,old-aggregate,6,758.809768
1000000,old-aggregate,7,759.025884
1000000,old-aggregate,8,762.572538
1000000,indexed,1,0.307
1000000,indexed,2,0.153577
1000000,indexed,3,0.144616
1000000,indexed,4,0.140616
1000000,indexed,5,0.137269
1000000,indexed,6,0.134731
1000000,indexed,7,0.172884
1000000,indexed,8,0.142038
1000000,indexed,9,0.134538
1000000,indexed,10,0.1315
1000000,indexed,11,0.132885
1000000,indexed,12,0.153269
1000000,indexed,13,0.133077
1000000,indexed,14,0.129654
1000000,indexed,15,0.129346
1000000,indexed,16,0.132615
1000000,indexed,17,0.129654
1000000,indexed,18,0.126692
1000000,indexed,19,0.125039
1000000,indexed,20,0.124808
1000000,indexed,21,0.125192
1000000,indexed,22,0.125384
1000000,indexed,23,0.132154
1000000,indexed,24,0.129923
1000000,indexed,25,0.124923
1000000,indexed,26,0.123385
1000000,indexed,27,0.123231
1000000,indexed,28,0.126962
1000000,indexed,29,0.124462
1000000,indexed,30,0.124
1000000,indexed,31,0.128154
1000000,indexed,32,0.154
1000000,indexed,33,0.126
1000000,indexed,34,0.123923
1000000,indexed,35,0.1225
1000000,indexed,36,0.122385
1000000,indexed,37,0.120693
1000000,indexed,38,0.121
1000000,indexed,39,0.124269
1000000,indexed,40,0.124961
1000000,indexed,41,0.122423
1000000,indexed,42,0.124115
1000000,indexed,43,0.122424
1000000,indexed,44,0.123038
1000000,indexed,45,0.122346
1000000,indexed,46,0.120923
1000000,indexed,47,0.126577
1000000,indexed,48,0.127153
1000000,indexed,49,0.123347
1000000,indexed,50,0.123154
1000000,indexed,51,0.122385
1000000,indexed,52,0.123462
1000000,indexed,53,0.120693
1000000,indexed,54,0.126076
1000000,indexed,55,0.1225
1000000,indexed,56,0.121153
1000000,indexed,57,0.119347
1000000,indexed,58,0.118538
1000000,indexed,59,0.155115
1000000,indexed,60,0.1295
1000000,indexed,61,0.123924
1000000,indexed,62,0.127269
1000000,indexed,63,0.163462
1000000,indexed,64,0.113884
